Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Date1,LT_Rev,Date2,ST_Rev,Date3,Mom
196307,   -0.39,   -0.48,   -0.81,    0.64,   -1.15,    0.27,193101,   0.82,192602,  -1.84,192701,   0.57
196308,    5.08,   -0.80,    1.70,    0.40,   -0.38,    0.25,193102,   1.66,192603,  -5.93,192702,  -1.50
196309,   -1.57,   -0.43,    0.00,   -0.78,    0.15,    0.27,193103,   4.34,192604,  -1.07,192703,   3.52
196310,    2.54,   -1.34,   -0.04,    2.79,   -2.25,    0.29,193104,  -1.42,192605,  -1.30,192704,   4.36
196311,   -0.86,   -0.85,    1.73,   -0.43,    2.27,    0.27,193105,  -2.41,192606,   4.00,192705,   2.78
196312,    1.83,   -1.89,   -0.21,    0.12,   -0.25,    0.29,193106,   3.01,192607,  -1.76,192706,   0.55
196401,    2.27,    0.10,    1.63,    0.21,    1.48,    0.30,193107,   3.74,192608,   1.43,192707,   4.22
196402,    1.55,    0.33,    2.81,    0.11,    0.81,    0.26,193108,  -3.66,192609,  -0.07,192708,   1.25
196403,    1.41,    1.41,    3.29,   -2.03,    2.98,    0.31,193109,  -7.11,192610,  -2.03,192709,   1.93
196404,    0.11,   -1.48,   -0.54,   -1.32,   -1.13,    0.29,193110,   4.73,192611,   0.98,192710,  -0.92
196405,    1.41,   -0.62,    1.81,   -0.15,    0.13,    0.26,193111,   1.02,192612,   1.95,192711,  -0.22
196406,    1.27,    0.13,    0.68,   -0.33,    0.10,    0.30,193112,  -6.53,192701,  -2.00,192712,   3.11
196407,    1.74,    0.50,    0.79,    0.15,    1.85,    0.30,193201,   6.38,192702,  -1.24,192801,  -0.46
196408,   -1.44,    0.29,    0.07,    0.15,    0.31,    0.28,193202,   2.24,192703,  -3.60,192802,  -1.07
196409,    2.69,   -0.34,    1.72,   -0.50,    0.56,    0.28,193203,   1.05,192704,  -3.55,192803,   4.70
